task,cost
0,38.9
1,41.22
2,41.67
3,28.2
4,17.74
5,23.28
6,31.36
7,54.11
8,33.37
9,19.08
10,12.17
11,52.46
12,20.58
13,54.83
14,13.29
15,19.97
16,19.98
17,20.03
18,30.32
19,46.94
20,10.55
21,22.46
22,8.36
23,10.71
24,11.42
25,47.21
26,57.2
27,13.91
28,35.76
29,14.86
30,54.11
31,37.54
32,22.62
33,40.05
34,39.1
35,31.08
36,31.65
37,15.52
38,32.17
39,54.62
40,35.34
41,14.66
42,29.72
43,39.61
44,43.28
45,24.95
46,42.46
47,13.48
48,31.5
49,11.74
50,36.4
51,49.91
52,27.44
53,20.48
54,38.62
55,38.18
56,54.33
57,19.12
58,19.1
59,35.19
60,46.2
61,37.96
62,34.57
63,35.21
64,43.25
65,32.59
66,22.88
67,20.22
68,17.94
69,24.56
70,14.15
71,32.41
72,38.37
73,18.59
74,22.51
75,12.03
76,15.87
77,28.38
78,9.15
79,17.17
80,43.06
81,37.12
82,35.19
83,30.9
84,10.06
85,37.48
86,16.72
87,37.44
88,52.45
89,24.06
