task,cost
0,26.32
1,53.35
2,39.74
3,27.25
4,19.12
5,18.84
6,33.35
7,30.95
8,41.58
9,33.05
10,31.52
11,23.98
12,32.59
13,45.74
14,8.91
15,10.92
16,42.32
17,41.01
18,16.87
19,29.4
20,12.98
21,20.13
22,34.55
23,12.67
24,12.76
25,43.72
26,15.69
27,47.68
28,22.58
29,56.18
30,42.14
31,16.26
32,17.35
33,14.12
34,25.28
35,22.57
36,27.95
37,27.49
38,24.93
39,10.57
40,27.46
41,29.39
42,43.32
43,16.23
44,45.43
45,25.71
46,19.99
47,34.23
48,11.39
49,9.98
50,42.53
51,19.41
52,32.35
53,39.96
54,13.6
55,28.03
56,22.99
57,24.98
58,13.91
59,39.45
