src,dst,comm
0,8,1
0,18,9
0,16,2
0,24,3
1,12,2
1,17,5
1,21,10
1,19,2
2,23,7
2,6,5
3,16,7
3,12,8
3,9,3
3,20,7
4,26,10
4,17,1
4,23,4
4,28,10
5,22,6
5,13,3
5,6,7
6,13,3
6,22,10
6,28,9
7,11,4
7,21,1
7,19,4
7,8,10
8,28,4
9,26,7
10,28,5
10,11,2
10,29,8
11,29,3
11,28,1
12,27,5
12,15,5
13,27,9
13,14,2
13,20,2
14,26,7
14,29,7
14,22,4
15,23,2
15,17,8
15,16,9
16,28,6
16,27,4
17,26,7
17,29,3
17,22,8
17,23,3
18,20,7
19,29,8
19,22,9
19,23,8
20,24,5
21,26,10
21,22,7
22,29,6
22,23,5
22,24,7
23,24,7
23,27,8
24,25,1
24,27,6
24,28,3
25,26,4
25,28,1
25,29,6
26,27,8
27,28,10
27,29,9
28,29,9
