task,cost
0,33.81
1,14.9
2,48.07
3,44.08
4,33.48
5,29.7
6,23.67
7,18.0
8,29.69
9,9.34
10,20.06
11,21.49
12,11.14
13,26.91
14,39.28
15,14.9
16,20.57
17,27.85
18,51.43
19,46.39
20,15.78
21,33.3
22,31.03
23,40.27
24,36.05
25,23.85
26,25.49
27,31.79
28,43.86
29,33.65
30,26.62
31,12.39
32,42.98
33,32.7
34,43.51
35,15.7
36,37.32
37,34.27
38,16.02
39,11.49
40,17.7
41,18.49
42,24.49
43,38.75
44,38.2
45,19.91
46,58.41
47,23.55
48,41.46
49,27.13
50,43.78
51,24.77
52,15.44
53,44.39
54,36.25
55,38.1
56,14.81
57,37.97
58,19.3
59,27.22
60,22.71
61,28.06
62,36.89
63,56.74
64,47.78
65,25.32
66,37.06
67,23.01
68,37.55
69,37.46
70,22.14
71,30.08
72,34.24
73,11.98
74,21.23
75,44.91
76,36.78
77,12.29
78,36.26
79,33.01
