src,dst,comm
0,21,5
0,15,4
0,18,6
1,5,3
1,7,5
2,13,7
3,20,2
4,13,8
4,28,3
4,24,4
4,9,3
5,12,4
5,18,9
5,9,3
6,27,9
6,23,8
6,29,1
7,21,1
7,15,8
8,15,7
8,23,9
8,16,8
9,15,1
9,25,2
9,24,8
9,12,9
10,19,7
10,29,8
10,25,4
11,12,2
11,13,6
11,18,1
11,22,7
12,25,8
12,22,8
12,13,6
12,28,1
13,28,10
14,28,6
14,17,3
14,16,3
15,28,9
15,20,6
15,21,10
15,22,8
16,19,4
16,21,10
16,24,2
17,23,9
18,23,3
19,20,3
19,29,4
20,26,5
20,29,6
20,28,5
21,22,2
21,27,1
21,23,9
21,24,2
22,29,9
22,24,7
22,28,1
23,29,10
23,26,1
23,25,2
23,24,3
24,29,7
24,25,7
25,29,6
26,29,4
26,28,2
26,27,7
27,29,8
27,28,3
28,29,6
