task,cost
0,49.29
1,11.29
2,34.94
3,13.94
4,22.01
5,28.27
6,28.13
7,14.91
8,12.21
9,16.67
10,36.2
11,28.7
12,12.6
13,34.34
14,55.63
15,46.15
16,24.19
17,43.89
18,10.19
19,40.76
20,12.89
21,32.47
22,43.53
23,19.57
24,32.57
25,41.18
26,17.96
27,41.43
28,17.37
29,42.29
30,24.32
31,35.19
32,37.86
33,24.15
34,33.49
35,14.76
36,21.63
37,34.79
38,51.92
39,22.11
40,31.62
41,26.85
42,46.4
43,53.61
44,30.44
45,39.43
46,49.05
47,14.14
48,24.52
49,43.27
50,27.87
51,21.46
52,50.09
53,22.88
54,22.82
55,32.62
56,24.62
57,12.85
58,27.33
59,21.49
60,21.48
61,19.06
62,24.7
63,35.67
64,50.37
65,41.91
66,14.23
67,9.26
68,28.2
69,9.02
70,11.45
71,41.1
72,28.6
73,38.76
74,41.43
75,43.96
76,21.51
77,14.57
78,40.28
79,27.73
