task,cost
0,43.7
1,45.94
2,28.88
3,54.27
4,31.24
5,14.12
6,40.56
7,37.66
8,53.66
9,9.28
10,22.82
11,23.1
12,44.56
13,47.61
14,27.18
15,39.44
16,21.16
17,33.53
18,29.51
19,27.01
20,32.5
21,26.33
22,14.54
23,37.55
24,37.68
25,40.31
26,61.81
27,19.55
28,30.9
29,41.23
30,28.54
31,22.42
32,28.91
33,12.2
34,25.88
35,23.51
36,11.57
37,28.61
38,27.53
39,29.38
40,33.81
41,32.52
42,49.88
43,39.64
44,40.48
45,15.93
46,17.63
47,24.73
48,36.94
49,12.0
50,19.45
51,27.26
52,20.85
53,51.68
54,31.49
55,20.28
56,31.48
57,37.26
58,25.19
59,18.79
60,33.1
61,44.82
62,27.78
63,29.66
64,11.22
65,13.86
66,26.42
67,23.36
68,9.6
69,17.16
70,38.33
71,12.91
72,13.89
73,23.28
74,26.84
75,29.11
76,17.06
77,52.43
78,27.6
79,23.84
80,34.2
81,34.83
82,50.42
83,30.69
84,47.26
85,26.12
86,29.13
87,17.7
88,19.5
89,27.95
