task,cost
0,20.17
1,35.63
2,23.19
3,27.3
4,43.89
5,18.65
6,7.99
7,27.96
8,39.75
9,14.91
10,48.03
11,31.54
12,39.06
13,48.39
14,32.38
15,34.31
16,41.01
17,42.35
18,43.44
19,16.1
20,9.67
21,20.95
22,33.89
23,19.58
24,41.55
25,37.98
26,11.46
27,11.08
28,46.7
29,21.03
30,57.04
31,38.75
32,27.66
33,15.54
34,37.02
35,37.09
36,27.22
37,36.25
38,25.59
39,33.2
40,34.34
41,42.81
42,23.26
43,24.29
44,31.0
45,19.5
46,32.1
47,33.62
48,28.21
49,14.78
50,23.65
51,41.24
52,53.56
53,23.0
54,22.33
55,16.47
56,36.29
57,60.29
58,18.66
59,18.63
60,12.49
61,7.62
62,48.26
63,55.67
64,55.42
65,29.78
66,48.62
67,31.24
68,39.7
69,30.08
70,37.2
71,36.98
72,18.28
73,10.51
74,46.59
75,36.63
76,12.97
77,42.74
78,52.02
79,21.92
80,35.26
81,12.11
82,56.08
83,26.77
84,31.2
85,18.99
86,36.95
87,37.03
88,45.97
89,29.37
90,35.58
91,21.45
92,33.6
93,10.8
94,28.94
95,13.4
96,19.59
97,24.67
98,7.71
99,26.14
