src,dst,comm
0,3,5
1,9,3
1,16,10
1,11,8
1,12,2
2,22,6
2,25,8
2,29,6
2,23,2
3,21,9
3,14,6
3,13,9
3,11,1
4,11,7
4,15,3
5,18,10
5,15,9
5,19,1
5,9,8
6,8,3
6,25,6
6,19,6
6,23,1
7,22,9
8,10,6
8,22,3
8,26,4
9,16,4
9,27,1
9,17,2
10,11,5
11,15,8
11,14,7
12,28,9
12,22,8
13,22,7
13,20,9
13,23,5
14,24,5
14,19,4
14,26,4
14,29,9
15,29,5
16,24,8
17,18,2
18,21,3
18,26,8
18,22,3
19,21,3
19,29,1
20,29,5
21,22,2
21,24,8
22,25,9
22,28,7
23,24,3
23,27,7
23,26,3
23,28,1
24,26,5
24,28,6
24,29,3
24,25,5
25,27,2
26,29,9
27,29,8
27,28,6
28,29,4
