task,cost
0,44.89
1,27.96
2,14.32
3,24.89
4,36.55
5,18.95
6,40.2
7,10.81
8,23.23
9,13.19
10,20.46
11,19.82
12,27.73
13,29.24
14,18.15
15,45.49
16,36.9
17,45.56
18,29.67
19,39.19
20,29.12
21,57.0
22,13.47
23,51.41
24,24.32
25,22.49
26,45.68
27,10.85
28,12.65
29,17.57
30,29.9
31,46.35
32,14.51
33,43.23
34,47.83
35,26.38
36,10.32
37,26.77
38,42.06
39,25.71
40,44.8
41,43.25
42,25.35
43,23.15
44,15.91
45,28.93
46,11.39
47,11.27
48,39.13
49,18.61
50,24.33
51,9.6
52,20.76
53,15.86
54,28.39
55,41.03
56,17.99
57,22.25
58,42.26
59,36.94
60,39.36
61,21.35
62,31.85
63,21.17
64,9.61
65,22.73
66,43.35
67,24.36
68,53.33
69,23.34
