src,dst,comm
0,16,2
0,24,7
0,42,10
1,26,9
2,11,10
3,29,6
3,31,8
3,49,6
3,6,2
4,34,10
5,18,8
5,6,5
6,13,6
6,19,8
7,14,1
7,46,5
8,9,5
9,16,10
9,23,4
10,22,3
10,16,4
11,40,6
11,37,6
12,43,8
12,32,9
13,17,1
13,38,10
14,20,3
14,44,5
14,27,7
14,40,1
15,30,2
15,22,8
16,27,10
16,38,5
17,36,8
17,31,8
17,29,10
18,21,7
18,47,3
18,32,10
18,24,9
19,23,5
20,37,5
20,46,2
21,36,1
21,48,9
21,31,1
21,23,6
22,30,3
22,23,10
22,49,5
23,29,10
23,32,10
23,26,7
23,47,2
24,30,6
25,48,7
25,38,10
25,47,5
26,41,6
27,38,4
28,47,9
29,34,5
30,42,8
30,48,7
30,44,5
31,46,1
31,39,6
32,35,2
32,48,5
32,33,5
33,44,4
34,36,8
34,46,6
34,49,1
35,40,4
35,49,3
35,41,7
35,43,10
36,40,6
37,49,9
37,46,9
37,45,4
37,43,3
38,44,9
38,41,5
38,46,8
38,39,9
39,41,8
39,44,3
40,48,2
41,45,8
41,48,5
41,42,5
41,43,1
42,43,6
42,45,3
42,48,2
43,46,8
44,45,4
44,47,10
45,49,3
45,48,8
46,49,9
46,48,7
46,47,2
47,48,4
47,49,5
48,49,1
