task,cost
0,35.34
1,18.58
2,23.72
3,13.46
4,50.5
5,25.6
6,24.7
7,24.99
8,9.02
9,46.09
10,14.49
11,13.66
12,33.94
13,28.14
14,23.68
15,20.58
16,28.42
17,31.49
18,53.53
19,26.0
20,10.26
21,25.94
22,31.0
23,24.26
24,61.45
25,33.85
26,20.36
27,9.77
28,55.46
29,56.21
30,22.45
31,36.89
32,33.42
33,20.98
34,37.32
35,41.74
36,60.52
37,22.4
38,28.84
39,30.74
40,37.21
41,23.13
42,15.64
43,52.37
44,40.33
45,44.25
46,27.1
47,27.61
48,49.39
49,41.12
50,34.13
51,39.9
52,32.91
53,35.5
54,52.91
55,39.87
56,42.75
57,29.95
58,16.85
59,42.35
